Country,Happiness_Ranking,Happiness_Score
Finland,1.0,7.74
Denmark,2.0,7.58
Iceland,3.0,7.53
Sweden,4.0,7.34
Israel,5.0,7.34
Netherlands,6.0,7.32
Norway,7.0,7.3
Luxembourg,8.0,7.12
Switzerland,9.0,7.06
Australia,10.0,7.06
New Zealand,11.0,7.03
Costa Rica,12.0,6.96
Kuwait,13.0,6.95
Austria,14.0,6.91
Canada,15.0,6.9
Belgium,16.0,6.89
Ireland,17.0,6.84
Czech Republic,18.0,6.82
Lithuania,19.0,6.82
United Kingdom,20.0,6.75
Slovenia,21.0,6.74
United Arab Emirates,22.0,6.73
United States,23.0,6.73
Germany,24.0,6.72
Mexico,25.0,6.68
Uruguay,26.0,6.61
France,27.0,6.61
Saudi Arabia,28.0,6.59
Singapore,30.0,6.52
Taiwan,31.0,6.5
Romania,32.0,6.49
El Salvador,33.0,6.47
Estonia,34.0,6.45
Poland,35.0,6.44
Spain,36.0,6.42
Serbia,37.0,6.41
Chile,38.0,6.36
Panama,39.0,6.36
Malta,40.0,6.35
Italy,41.0,6.32
Guatemala,42.0,6.29
Nicaragua,43.0,6.28
Brazil,44.0,6.27
Slovakia,45.0,6.26
Latvia,46.0,6.23
Uzbekistan,47.0,6.2
Argentina,48.0,6.19
Kazakhstan,49.0,6.19
Cyprus,50.0,6.07
Japan,51.0,6.06
South Korea,52.0,6.06
Philippines,53.0,6.05
Vietnam,54.0,6.04
Portugal,55.0,6.03
Hungary,56.0,6.02
Paraguay,57.0,5.98
Thailand,58.0,5.98
Malaysia,59.0,5.98
China,60.0,5.97
Honduras,61.0,5.97
Bahrain,62.0,5.96
Croatia,63.0,5.94
Greece,64.0,5.93
Bosnia and Herzegovina,65.0,5.88
Libya,66.0,5.87
Jamaica,67.0,5.84
Peru,68.0,5.84
Dominican Republic,69.0,5.82
Mauritius,70.0,5.82
Moldova,71.0,5.82
Russia,72.0,5.79
Bolivia,73.0,5.78
Ecuador,74.0,5.73
Montenegro,75.0,5.71
Mongolia,77.0,5.7
Colombia,78.0,5.7
Venezuela,79.0,5.61
Indonesia,80.0,5.57
Bulgaria,81.0,5.46
Armenia,82.0,5.46
South Africa,83.0,5.42
North Macedonia,84.0,5.37
Algeria,85.0,5.36
Hong Kong,86.0,5.32
Albania,87.0,5.3
Tajikistan,88.0,5.28
Republic of the Congo,89.0,5.22
Mozambique,90.0,5.22
Georgia,91.0,5.19
Iraq,92.0,5.17
Nepal,93.0,5.16
Laos,94.0,5.14
Gabon,95.0,5.11
Ivory Coast,96.0,5.08
Guinea,97.0,5.02
Turkey,98.0,4.98
Senegal,99.0,4.97
Iran,100.0,4.92
Azerbaijan,101.0,4.89
Nigeria,102.0,4.88
Palestine,103.0,4.88
Cameroon,104.0,4.87
Ukraine,105.0,4.87
Namibia,106.0,4.83
Morocco,107.0,4.8
Pakistan,108.0,4.66
Niger,109.0,4.56
Burkina Faso,110.0,4.55
Mauritania,111.0,4.51
Gambia,112.0,4.49
Chad,113.0,4.47
Kenya,114.0,4.47
Tunisia,115.0,4.42
Benin,116.0,4.38
Uganda,117.0,4.37
Myanmar,118.0,4.35
Cambodia,119.0,4.34
Ghana,120.0,4.29
Liberia,121.0,4.27
Mali,122.0,4.23
Madagascar,123.0,4.23
Togo,124.0,4.21
Jordan,125.0,4.19
India,126.0,4.05
Egypt,127.0,3.98
Sri Lanka,128.0,3.9
Bangladesh,129.0,3.89
Ethiopia,130.0,3.86
Tanzania,131.0,3.78
Comoros,132.0,3.57
Yemen,133.0,3.56
Zambia,134.0,3.5
Eswatini,135.0,3.5
Malawi,136.0,3.42
Botswana,137.0,3.38
Zimbabwe,138.0,3.34
DR Congo,139.0,3.3
Sierra Leone,140.0,3.25
Lesotho,141.0,3.19
Lebanon,142.0,2.71
Afghanistan,143.0,1.72
